Index;Leads Id;Lead Owner;First Name;Last Name;Company;Phone1;DigitCount;Email1;Website;Source;Deal Stage;Notes;OrganizationId
11;5B6fd4864E1A81C;Heather Bauer;Mark;Larsen;Cannon   Lawson and Davies;8276007628;10;jasmine92@mcmillan.com;http://sloan.biz/;Content Marketing;Proposal Sent;Truth she chair nor.;B97a6CF9bf5983C
12;a9cc727CeC3eddA;Xavier Dunn;Marcus;Norton;Lynn  Welch;5278198739;10;hermanjim@cummings-martin.biz;https://blackwell.com/;Cold Call;Closed Won;Left your relationship.;77aDc905434a49f
13;C7B91ceA84edaB4;Curtis Brewer;Jocelyn;Heath;Giles  Chen;8476878026;10;devans@stark.biz;https://barron-mcmillan.com/;Organic Search (Seo);Closed Lost;Short piece discussion challenge return response reason.;49aECbDaE6aBD53
14;96AbA0bBB972EEB;Elizabeth Dennis;Lawrence;Mclaughlin;Boyer  Simon;94435034086;15;joellozano@morales.com;https://curry.info/;Podcast;Closed Won;First which enjoy clearly between reflect.;6A7EdDEA9FaDC52
15;E4bF19FAC0B170e;Lisa Benton;Travis;Stephens;Barber  Navarro;3172541464;10;veronica86@tanner.com;http://www.mcmahon.com/;Referral;Proposal Sent;Important individual student sit state soldier.;eb3B7D06cCdD609
16;be85d6c4DA7dcd5;Gavin Arnold;Leslie;Mckinney;Sweeney  Leon;7394365698;10;hutchinsonsara@gentry.com;https://fleming-carson.net/;Organic Search (Seo);Re-engagement;Suddenly one specific week manage these free.;22aC3FFd64fD703
17;BCfbdFe9B70dc62;Kelsey Copeland;Kathleen;Clark;Rosario  Arellano;160751206;18;oscar80@soto.com;https://werner-bird.com/;Facebook Ads;Qualified;Star seem meet town.;cBfe4dbAE1699da
18;5D370105f1d9aBA;Larry Weaver;Jorge;Mccarty;Cummings Inc;4126282963597;13;cwebb@gallegos-kirk.org;https://cross.com/;Cold Call;Negotiation;Road listen turn know light.;D2c91cc03CA394c
19;eeBFBac6dcD8CDD;Jimmy Hernandez;Arthur;Espinoza;Faulkner  Webster;8962752092;10;preston97@harvey.com;http://shaw-valenzuela.com/;Linkedin Outreach;Disqualified;Black possible character miss resource suggest wrong.;485f5d06B938F2b
20;ef1EaFB5aFA8Ab1;Haley Montoya;Derrick;Lyons;Johnston   Coffey and Blake;9438121361;10;jbaker@zavala.com;http://www.mahoney.com/;Cold Email;Contacted;During cell place stage push finish wonder.;dFfD6a6F9AC2d9C
21;Dd70DB0cC57FFC4;Vanessa Pennington;Riley;Mcmillan;Patton  Fitzpatrick;66181415962;15;wrhodes@davis.com;http://holland-jenkins.com/;Other;Negotiation;Effect computer glass popular.;6883A965c7b68F7
22;c5Ee31f01eB326d;Carly Atkinson;Adriana;Jordan;Decker and Sons;85056545621;15;briannaconway@hubbard.com;https://kaiser.com/;Content Marketing;Contacted;Scientist music purpose instead get number truth.;EF5B55FadccB8Fe
23;5B644efc586e0cB;Oscar Vincent;Colleen;Poole;Solis  Brennan;192780624;17;fryeangel@hardin.com;https://www.fitzpatrick-cervantes.com/;Podcast;Qualified;Vote ahead southern central hear.;f8D4B99e11fAF5D
24;FAA776cfFECe164;Garrett Fischer;Krista;Snyder;Rivers  Ewing;64551029213;15;gcobb@logan.com;https://www.bartlett.biz/;Purchased List;New Lead;Good order side appear inside.;DDB19Be7eeB56B4
25;E59Dec0EDdEeebc;Virginia Huffman;Kurt;Hendricks;Tucker Inc;35585642587;14;hatfieldsean@werner.org;https://warner.com/;Facebook Ads;New Lead;Article large tax big cup body trip.;c1Ce9B350BAc66b
26;DEFf5f55A728ccF;Molly Carroll;Kirk;Goodman;Larsen Inc;17403354717;13;vdavidson@bennett-merritt.com;https://www.cox.biz/;Referral;Contacted;Letter power feeling place authority.;4D4d7E18321eaeC
27;Af671A0cBC82DcD;Tracy Tyler;Mindy;Mckee;Krueger LLC;;4;shelly59@mora.net;https://www.moore-werner.com/;Direct Traffic;Closed Won;Already minute series lay plant.;dfcA1c84AdB61Ac
28;9874EddAA137dDb;Christina Frost;Harold;Hudson;Graves Group;79984669581;15;regina50@pugh.info;https://vincent.com/;Partner Program;Closed Won;Bank recently fall.;Ea3f6D52Ec73563
29;21C8BAC4e24ad91;Mary Gilmore;Kerry;Lucas;Herman   Howell and Hutchinson;4337555863;10;victorwest@conway-palmer.org;https://lopez.com/;Partner Program;Closed Lost;Bed lay type environment drop cost everybody.;e9eB5A60Cef8354
30;f277EBC0b569b8F;Marvin Mcdaniel;Allison;Reeves;Donaldson and Sons;86930086349;15;hayesdominique@mcmillan.biz;https://www.bullock.net/;Other;Closed Won;Ability dog sea long threat when.;aAeb29ad43886C6
31;0A63E6FdD10C1af;Bryan Duarte;Denise;Mccoy;Edwards  Allen;6815648397;10;keithhunter@grant.com;https://www.miranda.com/;Cold Email;Re-engagement;Care effort film benefit interesting.;decab0D5027CA6a
32;b512eDbF1dFE21b;Terri Shah;Norman;Collier;Adkins LLC;85472165043;15;michaela95@beltran.com;https://www.fields-moran.com/;Social Media;Proposal Sent;Pass white now.;a0a6f9b3DbcBEb5
33;6Be7AAE12C6e920;Aimee Oneill;Angela;Farley;Chen LLC;65784853034;14;justin35@dunlap.com;https://www.burton-wise.com/;Google Ads;Negotiation;Sport thought question establish front.;B9BdfEB6D3Ca44E
34;6485C7fcF8F861c;Tamara Alvarez;Norman;Moyer;Sweeney  Lara;3363514347;10;perkinsdean@sawyer.org;http://www.gilbert-guerrero.com/;Cold Call;Qualified;Scientist both career continue high relationship break.;2bFC1Be8a4ce42f
35;e16135132352E10;Dale Roth;Cassidy;Knapp;Good and Sons;6712884955874;13;maliksummers@caldwell-hull.com;https://www.pacheco.com/;Google Ads;Closed Won;Worry true my against herself.;5fDBeA8BB91a000
36;e08eBc6705A9E36;Justin Foster;Beverly;Hanna;Beard and Sons;5493093740;10;uforbes@williamson-carey.org;https://reilly-grant.com/;Purchased List;Qualified;Ability level learn great.;bC0CEd48A8000E0
37;F04EBeD5dBd9D5c;Amanda Franklin;Allison;Kramer;Greer Ltd;;4;datkinson@holloway-clayton.biz;http://www.chapman.com/;Website Form;Disqualified;Him challenge amount parent effect.;AE61b8Ffebbc476
38;a97cbd4CaCf0eb9;Louis Riley;Raymond;Watson;Huber  Martinez;8966648183;10;friedmanamy@maddox.info;https://www.bond.com/;Partner Program;Closed Won;Natural us environmental affect line just field.;1eD64cFe986BBbE
39;7B52E9632f173C2;Gilbert Massey;Joanna;Burke;Mayer Ltd;6335528354812;13;claudiarichards@barry-frye.com;https://www.chan.biz/;Other;Disqualified;Response stay keep consumer range.;ec5Bdd3CBAfaB93
40;75db9b69462EABa;Gabriella Berg;Wanda;Rodgers;Blair Ltd;2817295708;10;mckenzie58@bentley-graves.com;http://ho.com/;Google Ads;Closed Lost;Ready at water next media our magazine none.;ba179F19F7925f5
41;dffe85C1BBed1b7;Tom Murray;Roy;Cox;Hoffman  Moses;82795691224;15;mpacheco@ware.com;http://carpenter.com/;Purchased List;Negotiation;Threat local father less.;cBa7EFe5D05Adaf
42;BbfcD0A43C0CEfe;Martin Nixon;Isaac;Duarte;Zamora   Sharp and Bradley;17286004302;13;awoodard@gentry.net;http://www.solomon.info/;Networking Event;Re-engagement;Real exactly these official trial member.;61BDeCfeFD0cEF5
43;0Db5d4E8faf82cb;Krista Baxter;Trevor;Mullen;Brady LLC;3906934617;10;bowmanjoan@weiss-boone.com;https://reid-spears.com/;Chatbot;Closed Won;Everything case if day none.;5c2EffEfdba2BdF
44;2FaE5e9caF2F17E;Gregg Cruz;Marcia;Thompson;Snyder   Hayes and Mayo;195647926;17;rsmith@hurst.com;https://french-bryant.com/;Retargeting Ads;New Lead;Great himself behind.;7Cb3AeFcE4Ba31e
45;03Dfd06B79Be2B7;Brittney Avery;Adriana;Silva;Mosley   Villarreal and Foster;2874140955;10;jamesholt@braun-daniels.com;https://www.walker-harrington.com/;Facebook Ads;Closed Lost;Wide pick better guess value.;738b5aDe6B1C6A5
46;Ec2804340246B62;Daryl Snyder;Antonio;Cook;Weber Inc;7492035993;10;xclay@tate.com;http://andrews-shields.info/;Webinars;Proposal Sent;Thank dark maintain picture.;ccBcC32adcbc530
47;C85f9f9dbCBa2DD;Haley Weeks;Gilbert;Arroyo;Cameron Ltd;151556986;16;peggysellers@chen.com;http://www.gould-soto.com/;Direct Traffic;On Hold;Major today some fill audience bit.;AC5B7AA74Aa4A2E
48;ffF4fdAaAdA65bc;Scott Willis;Diamond;Stevens;Villa  Ortega;36065283151;14;pchristian@hernandez-west.com;http://www.cline-fischer.com/;Facebook Ads;Disqualified;Mean body agree name lawyer teacher training.;0B4F93aA06ED03e
49;CdE0A1E8d2Cf55C;Alexandria Knapp;Traci;Mcneil;Beasley  Eaton;167788609;18;conwaymarie@davila-williamson.com;https://www.berry.com/;Cold Email;Proposal Sent;Win Mr garden power shake look lot.;fdFbecbadcdCdf1
50;0eFd559f3E31f7C;Greg Osborn;Veronica;Avila;English and Sons;;4;danielle65@zavala.com;http://www.morrison-freeman.info/;Retargeting Ads;Re-engagement;Media scene usually senior pull test let usually.;4e0719FBE38e0aB
51;fb8BCeCc7FFfA2E;Claire Sanders;Gene;Owens;Arnold   Lang and Powell;156483748;18;waltonjacqueline@rivers.com;http://www.moyer.com/;Trade Show;Re-engagement;Traditional give charge wrong.;19E3a5Bf6dBDc4F
52;13Fe6ef2C5B99dD;Christina Ramsey;Summer;Dalton;Wiggins LLC;4445510357;10;gcohen@porter.com;https://small-branch.com/;Cold Call;Negotiation;Support main instead Mr tell should.;f5afd686b3d05F5
53;4184448bb9CbCB4;Shawn Carey;Mike;Buck;Peters  Reed;16289188586;14;bryce35@wilkerson.com;https://brock-pratt.com/;Purchased List;Negotiation;Series drug past even.;FEC51bce8421a7b
54;38bDB53ca5250f3;Matthew Bender;Stacey;Hardin;Michael   Frazier and Joyce;19678406231;15;yeseniaburke@salas-booth.biz;http://www.sheppard.com/;Purchased List;Qualified;Challenge specific begin adult gun huge bed.;AFc285dbE2fEd24
55;42A94C8Ef249b9F;Julie Hubbard;Vincent;Bailey;Wade   Cortez and Moore;15814994080;16;robinparker@hayes-brooks.com;http://www.butler.biz/;Partner Program;Contacted;Least job skill resource.;cC757116fe1C085
56;2A200b490AC29b2;Kellie Cherry;Latoya;Frazier;Barnett  Mccormick;7604054382492;13;ponceluke@alvarez-bailey.com;http://villarreal.com/;Social Media;Proposal Sent;Like everybody performance determine adult position.;9eE8A6a4Eb96C24
57;651FFB0ff17Bf04;Haley Wells;Robyn;Huff;Ho Inc;2227480127;10;khunter@kaufman.com;https://wheeler-davis.com/;Trade Show;Negotiation;Plant option finally deep loss fall.;5Ec4C272bCf085c
58;21a3e7aaa76E6CA;Gwendolyn Conley;Diamond;Ferrell;Baxter Inc;15396365184;14;jeanettehamilton@kelly.biz;http://mcclure-tanner.com/;Retargeting Ads;New Lead;Language glass seem mean can seem agency.;8cC1bDa330a5871
59;eed1D7586ea1B5A;Frances Andrade;Chelsey;Dickson;Galloway  Knox;5715803877;10;colleenhopkins@pineda.net;http://ibarra.com/;Trade Show;Proposal Sent;Another also ten personal day hold.;4e91eD25f486110
60;13b2d09ACe8A1B6;Anthony Randall;Hayden;Huff;Poole   Rodgers and Craig;29322462725;15;harold57@kelley.info;http://baker.com/;Webinars;New Lead;Per under tree either condition experience.;E7df80C60Abd7f9
61;2cfD40e99Ea4FA2;Craig Ruiz;Brad;Zavala;Padilla PLC;9659049899;10;andresvillegas@ho-velazquez.info;https://www.huang.net/;Retargeting Ads;Re-engagement;Marriage together medical rest feeling answer.;FAB0d41d5b5d22c
62;f4911c477B308dC;Isabella Castillo;Caitlin;Rocha;Graves   Walter and Torres;71333979017;14;diamond80@hancock.net;https://norman-hall.com/;Webinars;Negotiation;Put send budget let day deal.;b5D10A14f7a8AfE
63;3EBaDD673aC5FcA;Barbara Nguyen;Monique;Bowen;Calderon  Baxter;16077370841;16;christy72@haney-moon.com;http://strong.info/;Cold Call;Disqualified;Reality mean change network away.;c89b9b59BC4baa1
64;BC6c2ce1dcd6b7A;Sheila Castillo;Haley;Blackburn;Webster Inc;;4;bobby58@liu-bryant.biz;http://krueger-mack.com/;Webinars;Re-engagement;Hit mother dream plan especially.;dF084FbBb613eea
65;83162d0B8c6fA0b;Colton Lowe;Stephen;Villarreal;Weber Group;34281094787;14;kennedyarthur@castro-dougherty.com;https://www.cooley.com/;Podcast;On Hold;Professor yard clearly national build south how.;e0E8e27eAc9CAd5
66;dE4833F4Ac4bB38;Lauren Holland;Ruth;Conley;Miles   Liu and Costa;14832427161;13;stacy97@anthony.com;https://www.warner-austin.com/;Linkedin Outreach;New Lead;Give choice day education whatever simple.;c6DedA82A8aef7E
67;5F446bd8D41A3FD;Oscar Mccoy;Debbie;Dixon;Ponce   Pruitt and Gilbert;20696727119;15;ivan43@moran-bentley.biz;http://maynard.com/;Trade Show;Negotiation;Crime parent action key.;7dd18Fb7cB07b65
68;083F94E6141f2A6;Bridget Hahn;Alan;Hutchinson;Escobar  Wheeler;163667322;17;cathy54@ross.net;https://juarez-burns.com/;Networking Event;New Lead;Team whose price.;EB9f456e8b7022a
69;D2BD715Bea0a1b1;Cameron Pearson;Alejandro;Kerr;Summers Inc;55081141640;14;kiarayang@ramirez.biz;http://bradford.com/;Chatbot;Disqualified;Term play determine local pick itself only tree.;ce57DCbcFD6d618
70;eF63ABE8Abd4ECc;Danielle Copeland;Martha;Dunlap;Ponce Group;8819069753;10;ihogan@cooper-adams.net;https://www.mejia.com/;Cold Email;Disqualified;Able fund parent born attorney.;adcB0afbE58bAe3
71;c8d85A44ef32e7c;Ryan Boyer;Larry;Richmond;Smith   Mcclain and Salinas;56726444082;15;marcus36@cook.com;https://www.hester.com/;Chatbot;Negotiation;Much since guess picture.;8de40AC4e6EaCa4
72;ceccCb3F6E02dFF;Elizabeth Atkinson;Mathew;Beasley;Hawkins and Sons;9389552556870;13;xlester@burch-boone.com;http://wells.com/;Retargeting Ads;Closed Lost;Everything seek usually fall conference.;235fdEFE2cfDa5F
73;D82ceC5fEDDE683;Ruth Hubbard;Alicia;Christensen;Rivas   Rogers and Joyce;8192443925308;13;tdaugherty@williamson-curry.com;https://www.salinas-owen.biz/;Podcast;Re-engagement;But federal action.;055ffEfB2Dd95B0
74;7bB0b703dEDABe4;Jody Good;Pam;Keith;Graham   Watson and Bush;17385729392;13;vescobar@estrada.com;http://garrison.com/;Referral;Negotiation;This pattern cup example from eight outside.;208044AC2fe52F3
75;7C3d0d9e1E46567;Karl Parks;Eduardo;Tran;Burton  Neal;6975699906350;13;zvega@mccullough.com;https://cervantes.net/;Podcast;Disqualified;Face turn church recent report.;C8AC1eaf9C036F4
76;F8dAfdcc1228972;Sherry Herrera;Krystal;Hoover;Mckay  Bowman;7563032218;10;zclements@roach.net;http://www.baird.info/;Purchased List;Disqualified;Eye Democrat word provide interest example.;32BB9Ff4d939788
77;5C94E8FA2fA1C28;Charlene Ayers;Ana;Bradshaw;Hahn  Vasquez;14732147966;14;christygates@bass.org;https://www.francis-hahn.org/;Trade Show;Contacted;Government lawyer kind charge social.;5Cd7efccCcba38f
78;12a4041ed2F7E24;Max Wade;Theodore;Kent;Pierce  Gilmore;5529219296;10;erikamora@wood-adams.com;http://www.arias.com/;Chatbot;Negotiation;Left body court Republican draw small system indeed.;ED889CB2FE9cbd3
79;7aA9E8D5d3bBa0C;Cassidy Chavez;Shelby;Marsh;Trevino Inc;95988921423;14;hboyd@ochoa.com;http://www.gross-pope.net/;Google Ads;Proposal Sent;Skill once worry course their.;4B217cC5a0674C5
80;C762fbe055Bd97b;Lorraine Sherman;Shelley;Becker;Huerta PLC;7109427258;10;kenneth22@gregory.com;https://www.joseph.com/;Webinars;On Hold;Police grow bar many popular industry man.;Bf3F3f62c8aBC33
81;decDeBEdBafdAc4;Craig Blankenship;Sue;Allen;Branch Group;4714779380590;13;prichmond@castillo-kirby.info;http://foley-day.org/;Social Media;Re-engagement;Consumer technology especially kid here heart.;Dfef38C51D8DAe3
82;5daDd2a9cAEdFcE;Mallory Savage;Jake;Reid;Mooney  Villanueva;5146969250;10;tamara71@mcclure.info;https://deleon.com/;Trade Show;Closed Lost;Natural last play ability.;dEbDAAeDfaed00A
83;041e7FFac934784;Carly Rangel;Herbert;Weeks;Cummings  Mendez;145961135;16;lschaefer@lam-johnston.net;https://www.mcmillan-miller.com/;Podcast;Re-engagement;Religious woman wear travel.;CbBbFcdd0eaE2cF
84;0Decd7C82CbcaAe;Summer Blackwell;Meredith;Ramsey;Keith   Alvarado and Mcclain;52861830019;14;powellronald@underwood.org;http://www.lindsey-barajas.com/;Networking Event;On Hold;Enter contain care what arm laugh them.;902D7Ac8b6d476b
85;3E177fEdc319F1A;Clinton Gentry;Jesse;Lester;Noble   Quinn and Kelly;183884281;17;fhahn@delgado.org;https://harmon.biz/;Facebook Ads;Qualified;Ok war member serious.;dd6CA3d0bc3cAfc
86;45BBaB0D2c4Bded;Angel Joseph;Kent;Estrada;Munoz  Mathis;5566978370827;13;karinamassey@davies.biz;http://www.burnett.com/;Facebook Ads;Proposal Sent;Concern risk speak model minute.;0a0bfFbBbB8eC7c
87;3eDdEB6Df9fa310;Tara Jenkins;Sheryl;Lynn;Esparza  Hardy;178657986;17;glenn23@mosley.com;http://www.may.org/;Cold Call;Re-engagement;Blood trade at cup western.;7b3fe6e7E72bFa4
88;e7EeE8b8E71ffeC;Ricardo Armstrong;Erin;Heath;Hooper  Strong;56720879745;15;aroth@adams.info;http://hubbard.com/;Other;Disqualified;Write soldier get.;bD1bc6bB6d1FeD3
89;CC2ebc1706Cf0A2;Tyrone Higgins;Janice;Pena;Acosta and Sons;89967451170;14;jessica68@sutton-moore.com;https://www.klein.com/;Purchased List;Disqualified;Color writer way radio turn sometimes lay financial.;F4Dc1417BC6cb8f
90;D4cdCfbF949b478;Dominique Henson;Marie;Ashley;Cabrera  Reynolds;5046790231;10;dennisprince@ramsey-lara.com;https://www.ferrell.org/;Facebook Ads;Contacted;The third police apply city TV see.;68139b5C4De03B4
91;7FCD94Ef2ac79dd;Virginia Gay;Mackenzie;Stout;Velazquez  Mills;4034204912;10;marilynwhite@fischer.com;https://www.rollins.net/;Content Marketing;Closed Lost;Gun drop story since all way.;38C6cfC5074Fa5e
92;e6fbfbf1BCE078c;Caitlyn Mercer;George;Swanson;Salazar  Foster;13519691389;15;alangentry@hutchinson.net;https://www.leon.com/;Podcast;Re-engagement;Indicate debate baby him increase mind.;5aaD187dc929371
93;bb413FF5cF64eeD;Samuel Luna;Sheila;Johnston;Lam   Mathews and Middleton;60034360878;14;aayala@owens.com;http://cook.net/;Organic Search (Seo);Qualified;Admit office language improve however.;A0B9d56e61070e3
94;fCFCd637a2A0fCF;Andre Kaiser;Ryan;Christian;Villegas   Joseph and Brewer;7544549727547;13;comptonjohn@griffith-potter.com;https://www.meyers.com/;Cold Email;Negotiation;Degree bit true believe ability door theory go.;7ABc3c7ecA03B34
95;CAF8C4Ce1bf38cA;Rebecca Warner;Chelsey;Stephenson;Tran LLC;184383981;16;normamontgomery@perez.com;http://www.hancock.com/;Networking Event;Qualified;Resource budget nation with.;0bFED1ADAE4bcC1
96;879AA6f76aCcEeF;Mary Terry;Erica;Garrison;Clark  Sanford;;4;clairegraves@campos.com;http://arias-blackwell.com/;Other;New Lead;Condition system short author.;e24D21BFd3bF1E5
97;f8EBCd52d798D8f;Vincent Mcneil;Fernando;Dickerson;Gibbs and Sons;15317943476;13;yolanda77@rhodes.org;https://www.clarke-valentine.com/;Networking Event;Re-engagement;Half top natural spend hold least.;BA6Cd9Dae2Efd62
98;bcCE5c7bEbdFfB2;Colin Choi;Sheila;Dyer;Frank  Wolf;9656978363869;13;vickieguerra@hanna.biz;https://copeland.com/;Social Media;Proposal Sent;Suffer time still unit.;ccc93DCF81a31CD
99;6cC0Dc8e4410B7E;Tony Beck;Cassie;Conrad;Blake   Diaz and Weber;63542933228;14;howeandrea@zhang.com;https://zimmerman.net/;Retargeting Ads;Negotiation;Administration great treat represent total.;88b1f1cDcf59a37
100;DCabaF160FbDda8;Dillon Stephenson;Charlotte;Browning;Calderon LLC;4306202165822;13;hbooth@ferrell-baker.com;http://www.patton-pollard.com/;Content Marketing;Negotiation;Talk executive hear only but book later.;f3C365f0c1A0623
